code;country;gdp;hdi;uhc;pop_0_14;pop_15_64;pop_65+;week;prev_cases;prev_deaths;cases;deaths
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;4;62.335954259566456;1.3700209727377244;74.8944798429956;1.3700209727377244
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;5;74.8944798429956;1.3700209727377244;80.60290056273611;1.7125262159221555
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;6;80.60290056273611;1.7125262159221555;86.53965811126625;1.7125262159221555
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;7;86.53965811126625;1.7125262159221555;89.62220529992614;1.8266946303169658
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;8;89.62220529992614;1.8266946303169658;91.4488999302431;1.940863044711776
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;9;91.4488999302431;1.940863044711776;93.73226821813931;1.940863044711776
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;10;93.73226821813931;1.940863044711776;95.10228919087703;1.940863044711776
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;11;95.10228919087703;1.940863044711776;97.49982589316805;2.0550314591065866
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;12;97.49982589316805;2.0550314591065866;99.2123521090902;2.0550314591065866
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;13;99.2123521090902;2.0550314591065866;99.55485735227464;2.169199873501397
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;14;99.55485735227464;2.169199873501397;100.46820466743311;2.169199873501397
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;15;100.46820466743311;2.169199873501397;101.3815519825916;2.169199873501397
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;16;101.3815519825916;2.169199873501397;103.43658344169819;2.169199873501397
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;17;103.43658344169819;2.169199873501397;105.26327807201515;2.169199873501397
CYP;Cyprus;34680054147.9058;0.873;0.78;0.16787847956510954;0.6949309027004074;0.13719061773448307;18;105.26327807201515;2.169199873501397;106.06245697277882;2.169199873501397
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;1;0.0;0.0;0.24413604011342935;0.0
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;2;0.24413604011342935;0.0;2.009427407087457;0.0
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;3;2.009427407087457;0.0;9.342898458187008;0.0
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;4;9.342898458187008;0.0;25.005164416233168;0.10328832466337395
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;5;25.005164416233168;0.10328832466337395;41.99139889950985;0.5540010141035513
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;6;41.99139889950985;0.5540010141035513;55.41888110574846;1.2112903528704764
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;7;55.41888110574846;1.2112903528704764;62.48004657364458;1.6995624330973351
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;8;62.48004657364458;1.6995624330973351;69.03416026592049;2.0469867978741383
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;9;69.03416026592049;2.0469867978741383;72.81826888767864;2.300512685684238
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;10;72.81826888767864;2.300512685684238;76.01081710454656;2.591597964281019
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;11;76.01081710454656;2.591597964281019;79.3911622753479;2.7793949182144266
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;12;79.3911622753479;2.7793949182144266;83.4757460233995;2.948412176754493
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;13;83.4757460233995;2.948412176754493;86.66829424026743;2.995361415237845
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;14;86.66829424026743;2.995361415237845;89.83267291404533;3.0704801968112077
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;15;89.83267291404533;3.0704801968112077;93.81396833743356;3.0892598922045487
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;16;93.81396833743356;3.0892598922045487;98.10512873481193;3.154988826081241
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;17;98.10512873481193;3.154988826081241;106.08649927698173;3.258277150744615
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;18;106.08649927698173;3.258277150744615;116.80970534657928;3.3052263892279665
CZE;Czechia;429753883036.194;0.8909999999999999;0.76;0.15586606042863133;0.6499251923437299;0.19420874722763878;19;116.80970534657928;3.3052263892279665;123.14785254183177;3.3052263892279665
