"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800098724.562479","823782336.587951","881320648.830345","920122636.376351","986303522.198531","1078219917.45345","1159065965.43376","1242413188.68011","1330700497.30661","1457689888.51426","1593597381.2459","1764518794.8356","1989458174.98611","2184936049.86589","2378580863.04329","2631404627.13671","2900801765.02531","3525644808.11134","3766726571.88821","4051571319.67684","4588418544.24238","5058193224.46038","5551028757.78964","5674632094.29935","6230839237.39531","6915215092.96672","7704491371.78068","8307416846.52319","8767427014.35272","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7311443376.83976","8122479863.91978","8549921796.58314","8920200558.44638","9441208466.77124","10316848203.5725","11118217266.1966","12251591977.647","12444453774.0933","13844531993.3052","14435361890.7468","14788955410.3918","15934700074.3906","16981434151.7212","17910468091.1102","19309906972.4302","21558194889.4765","23969560825.3093","25961922968.543","24158011297.6733","26532422520.8474","28724946144.4811","27777573514.4221","30379083387.998","34042602719.0658","32968199366.5592","37281097877.58","38045584113.2416","40708022571.3536","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1783507771.62533","1833633739.33971","1754942088.13743","1802544884.90391","1931245879.99437","2113707086.75809","2066311325.97772","2213344227.57186","2343457081.74165","2462873910.43503","2455248639.61492","2621127572.29976","2758881202.50719","2658440643.58539","2893672534.04331","3010908030.01306","3250024496.80019","3491097824.79268","3632110885.72552","3974076863.94696","4206561537.39184","4474567487.04114","4898812217.60128","3289213888.4073","3217025733.6707","3536324784.94661","3862992069.65942","4195263790.82987","4460308104.51065","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557998251114.793","564839773596.55","583047449520.098","612810784563.852","654119883079.697","685776093844.359","709578304873.687","752652268656.642","790681999551.216","843508200300.636","898040231584.555","933973558960.047","967558830682.98","1019552505465.45","1079456273708.76","1167581267653.45","1237541912599.53","1297515434223.86","1339060588630.82","1304630651597.41","1360848637580.21","1427466965184.4","1464565119752.66","1550271241830.07","1617561717808.96","1591202432043.49","1676969657798.83","1774270877603.06","1852669162036.13","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","786731491728.783","735699311883.418","736893900193.407","766339935732.014","814369740898.33","874808339770.5","916976344669.434","950047404736.984","991555062965.012","1022540819621.09","1084533635572.23","1160829655463.93","1241446637331.92","1311675565851.41","1429705555756.39","1514533125388.57","1679186919992.48","1867091309208.6","2063306025258.47","2063218790895.84","2167293457601.29","2307895091996.21","2387441718287.79","2486040022558.39","2585696682274.08","2692986948895.86","2861438555474.37","3075594849470.43","3247423803344.75","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185259415851.014","189770428502.067","194010223995.371","198356712200.77","205164750203.113","210474228732.178","215878221429.244","225463479064.28","234050329827.142","241567729954.361","256930227148.047","265902203533.503","274768388545.761","276782573652.223","289453217042.521","301740596769.259","337516507598.18","375613375531.223","402150900606.745","401194159526.313","415560756626.075","444548757851.532","462614986499.979","486238615990.985","506894811123.135","529568029941.981","550296734177.089","567448869241.539","590532232220.316","",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59884080750.2647","66835784570.8888","77143487636.6557","85334371292.8608","93055582546.1125","105725665706.807","116867751857.427","127713470712.518","134736168100.906","136118237193.432","146574189998.849","154736781302.979","162067996677.066","171831209720.424","189179006543.619","206274402670.143","257648250741.941","280051852457.153","275716447509.986","272874099668.727","309886433252.476","350575241993.673","374241571983.029","394291936706.817","404667282590.218","407688861062.879","413362673265.911","438189094371.653","463790230057.901","",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1115133158252.3","1259990455655.89","1471908821237.84","1715736670547.89","1981096801679.66","2244100189369.76","2512072566150.03","2791272723017","3043920539104.22","3324630678666.54","3687574239861.67","4082744489730.68","4526001287014.71","5072700102298.89","5735988672390.37","6588682974548.91","7651477145393.93","8975179758454.31","10033103023651.9","11059872991679.5","12378799198991.4","13844365748483.2","15124656967556.7","16185347965474","17058384344808.8","17722234756599.6","18554490913128.1","19617383843809.2","21414903677240.1","",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24493303203.493","25331969784.4963","25845898316.3582","26407331878.5348","27190020837.3188","29738267098.3428","32623439466.1088","34428330506.4547","36532485359.0094","37659397374.051","37704903407.5436","38578699258.2875","38535391861.0437","38717398903.217","40249503254.5108","42217625707.7854","44154536392.9916","46140929527.7666","48234544140.1317","50182540177.1803","51791592985.8449","50553775704.1465","56648335976.5235","62520934907.717","70844202067.6682","78181827266.0365","82935759539.5071","87295300973.1161","96068555702.532","",
